 Name                                Version          License                                                  URL                                                                                                 
 Flask                               3.1.3            BSD-3-Clause                                             https://github.com/pallets/flask/                                                                   
 GitPython                           3.1.52           BSD-3-Clause                                             https://github.com/gitpython-developers/GitPython                                                   
 Jinja2                              3.1.6            BSD License                                              https://github.com/pallets/jinja/                                                                   
 Mako                                1.3.12           MIT License                                              https://www.makotemplates.org/                                                                      
 Markdown                            3.10.2           BSD-3-Clause                                             https://Python-Markdown.github.io/                                                                  
 MarkupSafe                          3.0.3            BSD-3-Clause                                             https://github.com/pallets/markupsafe/                                                              
 PyYAML                              6.0.1            MIT License                                              https://pyyaml.org/                                                                                 
 Pygments                            2.20.0           BSD-2-Clause                                             https://pygments.org                                                                                
 SQLAlchemy                          2.0.30           MIT License                                              https://www.sqlalchemy.org                                                                          
 Werkzeug                            3.1.8            BSD-3-Clause                                             https://github.com/pallets/werkzeug/                                                                
 aiohappyeyeballs                    2.7.1            Python Software Foundation License                       https://github.com/aio-libs/aiohappyeyeballs                                                        
 aiohttp                             3.14.1           Apache-2.0 AND MIT                                       https://github.com/aio-libs/aiohttp                                                                 
 aiosignal                           1.4.0            Apache Software License                                  https://github.com/aio-libs/aiosignal                                                               
 alembic                             1.13.1           MIT License                                              https://alembic.sqlalchemy.org                                                                      
 altair                              5.3.0            BSD License                                              https://github.com/altair-viz/altair                                                                
 annotated-doc                       0.0.4            MIT                                                      https://github.com/fastapi/annotated-doc                                                            
 annotated-types                     0.7.0            MIT License                                              https://github.com/annotated-types/annotated-types                                                  
 anyio                               4.14.2           MIT                                                      https://anyio.readthedocs.io/en/stable/versionhistory.html                                          
 ast_serialize                       0.6.0            MIT                                                      https://github.com/mypyc/ast_serialize                                                              
 asttokens                           3.0.2            Apache 2.0                                               https://github.com/gristlabs/asttokens                                                              
 attrs                               26.1.0           MIT                                                      https://www.attrs.org/en/stable/changelog.html                                                      
 black                               26.5.1           MIT                                                      https://github.com/psf/black                                                                        
 blinker                             1.9.0            MIT License                                              https://github.com/pallets-eco/blinker/                                                             
 cachetools                          5.5.2            MIT License                                              https://github.com/tkem/cachetools/                                                                 
 catboost                            1.2.5            Apache License, Version 2.0                              https://catboost.ai                                                                                 
 certifi                             2026.6.17        Mozilla Public License 2.0 (MPL 2.0)                     https://github.com/certifi/python-certifi                                                           
 cffi                                2.1.0            MIT-0                                                    https://cffi.readthedocs.io/en/latest/whatsnew.html                                                 
 charset-normalizer                  3.4.9            MIT                                                      https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md                                
 cleanlab                            2.6.3            GNU Affero General Public License v3 or later (AGPLv3+)  https://cleanlab.ai                                                                                 
 click                               8.4.2            BSD-3-Clause                                             https://github.com/pallets/click/                                                                   
 clickhouse-driver                   0.2.7            MIT License                                              https://github.com/mymarilyn/clickhouse-driver                                                      
 cloudpickle                         3.1.2            BSD License                                              https://github.com/cloudpipe/cloudpickle                                                            
 colorama                            0.4.6            BSD License                                              https://github.com/tartley/colorama                                                                 
 colorlog                            6.10.1           MIT License                                              https://github.com/borntyping/python-colorlog                                                       
 comm                                0.2.3            BSD License                                              https://github.com/ipython/comm                                                                     
 confluent-kafka                     2.4.0            Apache Software License                                  https://github.com/confluentinc/confluent-kafka-python                                              
 contourpy                           1.3.3            BSD License                                              https://github.com/contourpy/contourpy                                                              
 cryptography                        42.0.7           Apache Software License; BSD License                     https://github.com/pyca/cryptography                                                                
 cycler                              0.12.1           BSD License                                              https://matplotlib.org/cycler/                                                                      
 dask                                2026.1.1         BSD-3-Clause                                             https://github.com/dask/dask/                                                                       
 debugpy                             1.8.21           MIT License                                              https://aka.ms/debugpy                                                                              
 decorator                           5.3.1            BSD-2-Clause                                             UNKNOWN                                                                                             
 dice_ml                             0.12             MIT License                                              https://github.com/interpretml/DiCE                                                                 
 dill                                0.3.9            BSD License                                              https://github.com/uqfoundation/dill                                                                
 dnspython                           2.8.0            ISC License (ISCL)                                       https://www.dnspython.org                                                                           
 docker                              7.2.0            Apache-2.0                                               https://github.com/docker/docker-py                                                                 
 email-validator                     2.3.0            The Unlicense (Unlicense)                                https://github.com/JoshData/python-email-validator                                                  
 entrypoints                         0.4              MIT License                                              https://github.com/takluyver/entrypoints                                                            
 executing                           2.2.1            MIT License                                              https://github.com/alexmojaki/executing                                                             
 faiss-cpu                           1.7.4            MIT License                                              https://github.com/kyamagu/faiss-wheels                                                             
 fastapi                             0.111.0          MIT License                                              https://github.com/tiangolo/fastapi                                                                 
 fastapi-cli                         0.0.32           MIT                                                      https://github.com/fastapi/fastapi-cli                                                              
 fastjsonschema                      2.21.2           BSD License                                              https://github.com/horejsek/python-fastjsonschema                                                   
 feast                               0.38.0           Apache Software License                                  https://github.com/feast-dev/feast                                                                  
 filelock                            3.30.2           MIT                                                      https://github.com/tox-dev/py-filelock                                                              
 fonttools                           4.63.0           MIT                                                      http://github.com/fonttools/fonttools                                                               
 frozenlist                          1.8.0            Apache-2.0                                               https://github.com/aio-libs/frozenlist                                                              
 fsspec                              2026.6.0         BSD-3-Clause                                             https://github.com/fsspec/filesystem_spec                                                           
 gitdb                               4.0.12           BSD License                                              https://github.com/gitpython-developers/gitdb                                                       
 graphene                            3.4.3            MIT                                                      https://github.com/graphql-python/graphene                                                          
 graphql-core                        3.2.11           MIT License                                              https://github.com/graphql-python/graphql-core                                                      
 graphql-relay                       3.2.0            MIT License                                              https://github.com/graphql-python/graphql-relay-py                                                  
 graphviz                            0.21             MIT                                                      https://github.com/xflr6/graphviz                                                                   
 greenlet                            3.5.3            MIT AND PSF-2.0                                          https://greenlet.readthedocs.io                                                                     
 h11                                 0.16.0           MIT License                                              https://github.com/python-hyper/h11                                                                 
 httpcore                            1.0.9            BSD-3-Clause                                             https://www.encode.io/httpcore/                                                                     
 httptools                           0.8.0            MIT                                                      https://github.com/MagicStack/httptools                                                             
 httpx                               0.27.0           BSD-3-Clause                                             https://github.com/encode/httpx                                                                     
 idna                                3.18             BSD-3-Clause                                             https://github.com/kjd/idna                                                                         
 imbalanced-learn                    0.12.2           MIT                                                      https://github.com/scikit-learn-contrib/imbalanced-learn                                            
 importlib_metadata                  7.2.1            Apache Software License                                  https://github.com/python/importlib_metadata                                                        
 iniconfig                           2.3.0            MIT                                                      https://github.com/pytest-dev/iniconfig                                                             
 intel-openmp                        2021.4.0         Other/Proprietary License                                https://software.intel.com/content/www/us/en/develop/tools/compilers/c-compilers.html               
 ipykernel                           7.3.0            BSD-3-Clause                                             https://ipython.org                                                                                 
 ipython                             9.15.0           BSD-3-Clause                                             https://ipython.org                                                                                 
 ipython_pygments_lexers             1.1.1            BSD License                                              https://github.com/ipython/ipython-pygments-lexers                                                  
 itsdangerous                        2.2.0            BSD License                                              https://github.com/pallets/itsdangerous/                                                            
 jedi                                0.20.0           MIT License                                              https://github.com/davidhalter/jedi                                                                 
 joblib                              1.5.3            BSD-3-Clause                                             https://joblib.readthedocs.io                                                                       
 jsonschema                          4.26.0           MIT                                                      https://github.com/python-jsonschema/jsonschema                                                     
 jsonschema-specifications           2025.9.1         MIT                                                      https://github.com/python-jsonschema/jsonschema-specifications                                      
 jupyter_client                      8.9.1            BSD License                                              https://jupyter.org                                                                                 
